id,qid1,qid2,answer1,answer2,is_duplicate
0,1,2,Ini adalah kisah tentang persabahatan dua anak cowok bernama Edward dan Bejo.,Akan diceritakan kisah dua orang yang akrab sekali tapi ternyata satu sama lain itu berbeda.,0
1,3,4,"Alkisah pada suatu waktu di wilayah barat Jakarta, hiduplah sepasang sahabat baik sekali bernama Alex dan Ali.",Edward adalah anak cowok berkacamata dan wajahnya penuh dengan jerawat.,0
2,5,6,"Ada dua orang anak, namanya Anton sama Budi.",Terdapat dua orang anak yang bernama Anton sama Budi.,1
3,7,8,Proses untuk membuat suatu program dengan menggunakan bahasa komputer.,Pemograman komputer merupakan suatu proses yang berisi penyusunan printah atau algoritma untuk dijalankan pada sistem komputer sehingga menghasilkan suatu output sesuai perintah atau program yang dibuat.,0
4,9,10,"Komponen minimal yang harus dimiliki oleh komputer adalah memori utama, memori sekunder,cpu, input device dan output device.","Memori utama, memori sekunder, CPU, input device, output device",1
5,11,12,Sebuah program komputer dijalankan melalui 3 proses utama yaitu input-process-output.,"Input, process, dan output merupakan 3 proses utama saat menjalankan program komputer.",1
6,13,14,Haruskah aku membeli sekotak tisu?,Video game apa yang cocok untuk anak - anak?,0
7,15,16,Bagaimana cara aku menjadi seorang Arkeolog,Apa yang harus aku lakukan untuk menjadi Arkeolog?,1
8,17,18,Sepulang sekolah bersama dengan kedua orang tuanya Edward mengunjungi Bejo di rumahnya.,"Sepulang kantor bersama dengan temannya, Edward mengunjungi Bejo di rumahnya.",0
9,19,20,Dapatkah aku meretas kartu GSM yang ku pakai?,Bagaimana cara untuk meretas kartu GSM untuk mendapatkan internet gratis?,0
10,21,22,"Bahasa mesin merupakan bahasa yang dimengerti oleh perangkat lunak menggunakan biner yang terdiri dari angka 0 dan 1, bahasa pemrograman ini sulit untuk dihapal manusia untuk membuat program.","Bahasa mesin: bahasa yang dipahami komputer, namum sulit untuk dipahami oleh manusia dan memiihi bahasa mesin yang berbeda untuk setiap jenis CPU",0
11,23,24,Bahasa level tinggi adalah bahasa yang lebih mendekati bahasa manusia sehari-hari. Bahasanya sangat mudah dipahami oleh manusia sehingga memudahkan untuk memberikan perintah pada mesin.,Bahasa tingkat tingggi merupakan bahasa seperti bahasa inggris dan bahasa manusia lainnya.,1
12,25,26,Bahasa level tinggi merupakan Bahasa yang tidak lagi menggunakan kode biner ataupun mnemonic.,"Bahasa level tinggi yaitu bahasa yang tidak lagi menggunakan biner atau mnemonic, bahasa ini lebih mudah dan dapat membuat program dengan baik.",1
13,27,28,"Tablet dapat diprogram /diperintah untuk melakukan sesuatu dibentuk oleh beberapa komponen utama seperti memori utama, memori sekunder, CPU, dan lain-lain",Laptop merupakan versi portable dari PC atau komputer yang berfungsi untuk melakukan pekerjaan PC dengan ukuran yang lebih kecil.,0
14,29,30,Tidak ketinggalan koral berbentuk jamur kuping dengan warna coklat.,Tidak ketinggalan koral berwarna coklat yang berbentuk seperti jamur kuping.,1
15,31,32,Raja Ampat memiliki pemandangan yang indah dipagi hari serta udara yang sejuk.,Sungguh indah pemandangan pegununggan Semeru dengan udara segar dan dingin dipagi hari.,0
16,33,34,Apa yang dimaksud dengan manipulasi data pada database?,Apa yang dimaksud dengan manipulasi data pada database?,1
17,35,36,User experience adalah bagaimana pengalaman pengguna dalam berinteraksi/menggunakan produk digital Anda. Pengalaman ini dilihat dari betapa mudahnya pengguna untuk mendapatkan apa yang mereka inginkan dari produk tersebut.,"User Interface adalah tampilan visual sebuah produk yang menjembatani sistem dengan pengguna (user). Tampilan UI dapat berupa bentuk, warna, dan tulisan yang didesain semenarik mungkin. Secara sederhana, UI adalah bagaimana tampilan sebuah produk dilihat oleh pengguna. ",0
18,37,38,Python merupakan bahasa pemrograman yang populer digunakan untuk pengolahan data.,"Dalam pengolahan data, salah satu bahasa pemrograman yang sering dipakai adalah Python.",1
19,39,40,Jakarta merupakan ibu kota dari Negara Indonesia saat ini.,Tokyo merupakan ibu kota dari Negara Jepang.,0
20,41,42,Kenapa roket berwana putih?,Kenapa roket dan pesawatnya dicat dengan warna putih?,1
21,43,44,"Pemrograman komputer adalah proses untuk membangun program. Sedangkan program adalah sekumpulan perintah yang kita berikan kepada komputer untuk mengerjakan sesuatu, yaitu untuk mengolah data masukan menjadi keluaran. Sehingga sebuah perangkat lunak pastilah memiliki program.","Pemrograman komputer merupakan proses untuk membangun program. Sedangkan program adalah sekumpulan perintah yang kita berikan kepada komputer untuk mengerjakan sesuatu, yaitu untuk mengolah data masukan menjadi keluaran.",1
22,45,46,Apa saja pertanyaan yang tidak boleh ditanyakan di Quora?,Pertanyaan apa yang harus saya ajukan di Quora?,0
23,47,48,Berapa harga 30 kV dalam HP?,Di mana saya bisa menemukan bagan konversi untuk CC ke tenaga kuda?,0
24,49,50,"Apa artinya bahwa setiap kali saya melihat jam, angkanya sama?",Berapa kali dalam sehari jarum jam saling tumpang tindih?,0
25,51,52,Apa saja kiat-kiat untuk melewati proses wawancara kerja di Medicines?,Apa saja kiat-kiat untuk berhasil melalui proses wawancara kerja di Foundation Medicine?,0
26,53,54,"Komponen-komponen yang menjadi syarat minimal agar sebuah komputer bisa bekerja adalah memori utama, memori sekunder, Central Processing Unit, perangkat input, dan perangkat output.","Jenis bahasa komputer yang pertama adalah bahasa mesin, bahasa ini memiliki kelemahan sulit dimengerti oleh manusia karena hanya terdiri dari angka 0 dan 1. Jenis yang kedua adalah bahasa assembly, bahasa ini sedikit lebih mudah karena menggunakan singakatan dari kata kerja dalam bahasa inggris yang mudah diingat (mneumonic), Namun bahasa assembly harus bekerja secara spesifik sesuai dengan karakteristik dari perangkat keras komputer dan yang terakhir adalah bahasa tingkat tinggi, bahasa ini hampir menyerupai",0
27,55,56,Apakah masyarakat terlalu mementingkan olahraga?,Bagaimana olahraga berkontribusi kepada masyarakat?,0
28,57,58,Apa cara terbaik untuk menghasilkan uang secara online?,Apa cara terbaik untuk meminta uang secara online?,0
29,59,60,Bagaimana saya harus mempersiapkan diri untuk hukum akhir CA?,Bagaimana seseorang harus tahu bahwa dia benar-benar mempersiapkan diri untuk ujian akhir CA?,1
30,61,62,Apa satu hal yang ingin Anda lakukan dengan lebih baik?,Apa satu hal yang Anda lakukan meskipun tahu lebih baik?,0
31,63,64,Apa saja perawatan khusus untuk seseorang dengan hidung yang tersumbat di malam hari?,Bagaimana saya bisa menjaga hidung saya agar tidak tersumbat di malam hari?,1
32,65,66,Penjahat Game of Thrones apa yang paling mungkin memberi Anda belas kasihan?,Penjahat Game of Thrones apa yang paling Anda inginkan?,1
33,67,68,"Apakah pemerintah Amerika Serikat masih memasukkan beberapa warga negara Amerika Serikat ke dalam daftar hitam (pekerjaan, dll.) karena pandangan politik mereka?",Bagaimana kecepatan rata-rata molekul gas ditentukan?,0
34,69,70,Apa situs web perjalanan terbaik di Spanyol?,Apa situs web perjalanan terbaik?,0
35,71,72,Mengapa sebagian orang berpikir bahwa Obama akan mencoba mengambil senjata mereka?,Apakah ada inisiatif pengendalian senjata untuk mengambil senjata yang sudah dimiliki orang?,0
36,73,74,Saya berusia 19 tahun. Bagaimana saya bisa meningkatkan keterampilan saya atau apa yang harus saya lakukan untuk menjadi wirausahawan dalam beberapa tahun ke depan?,Saya seorang pria berusia 19 tahun. Bagaimana saya bisa menjadi miliarder dalam 10 tahun ke depan?,0
37,75,76,"Ketika seorang pacar bertanya kepada pacarnya, ""Mengapa kamu memilih saya? Apa yang membuatmu ingin bersamaku?"", apa yang harus dijawabnya?",Pacar saya mengatakan bahwa kami harus mengakhiri ini karena dia bingung tentang perasaannya kepada saya. Saya berharap dia baik-baik saja dan memutuskan hubungan. Haruskah saya meneleponnya dan bertanya apakah dia ingin kembali bersama?,0
38,77,78,Bagaimana kita mempersiapkan diri untuk UPSC?,Bagaimana saya mempersiapkan diri untuk menjadi pegawai negeri?,1
